31.93,101.72;0.002280958109,-0.00175952911
33.62,102.94;0.001853866941,-0.00172734261
32.06,102.95;0.002414119875,-0.0016951561
32.64,103.61;0.002430312432,-0.00209212303
33.23,104.19;0.00181285363099,-0.00255346298
31.46,103.61;0.002384060674,-0.00203847885
31.42,103.16;0.002096668383,-0.00212967396
30.97,102.34;0.002318251611,-0.00171661377
31.48,102.03;0.002141076005,-0.00177025795
32.3,100.97;0.002434972116,-0.00145912169999
31.67,103.89;0.002365001469,-0.00212430953999
30.04,101.95;0.002842076118,-0.00149130820999
31.38,100.65;0.002399834648,-0.0011909008
31.64,99.96;0.002356630677,-0.00112652778601
30.96,100.28;0.002451901538,-0.00125527381999
32.23,98.83;0.002468616589,-0.000547170638995
31.81,98.57;0.002448046951,-0.000278949738004
33.01,98.06;0.001974850229,-0.000622272491
32.3,100.35;0.002221852764,-0.00144302845001
29.92,102.25;0.002701374551,-0.00156104565001
30.85,101.87;0.002666575913,-0.0015181303
29.01,101.53;0.00319487355,-0.00159323215
30.03,101.0;0.002721607273,-0.00150203705
30.99,101.14;0.002285574255,-0.00180244446
30.03,100.28;0.002712318384,-0.00122845173
28.93,99.78;0.003216124616,-0.00116407871199
29.04,100.31;0.003048550837,-0.00125527381999
30.0,99.0;0.002745659854,-0.000761747360002
28.71,99.25;0.003364078328,-0.000944137573001
27.92,102.29;0.003408122178,-0.00152349471999
28.03,102.83;0.003541973434,-0.00152349472
28.96,102.74;0.003140092928,-0.00160932541
28.21,103.62;0.003630580193,-0.00192582606999
27.07,102.76;0.003472752851,-0.00155568123
26.74,102.55;0.003669761209,-0.00131964684
26.67,102.21;0.003513820805,-0.00150203705
27.4,102.15;0.003267200705,-0.00165760517
28.33,103.14;0.003305392825,-0.00203311443001
27.73,103.22;0.003376104412,-0.00191509724
27.7,102.8;0.003438780162,-0.00155568123
27.38,102.52;0.0034583364,-0.00141620636001
28.33,102.42;0.003286504574,-0.00170052052
28.66,102.49;0.003318611621,-0.00155568123
27.42,101.51;0.00343327571,-0.00160932541
28.58,102.15;0.003259899056,-0.0016951561
27.9,101.25;0.003441939627,-0.0015771389
39.13,117.2;-0.001044469851,-0.00631392001999
39.33,117.83;-0.001029049273,-0.00620126724
38.93,116.92;-0.000680205058998,-0.00581502914
40.05,117.4;-0.00142900245901,-0.00668406487
39.75,117.3;-0.001262051469,-0.00641584396
39.4,117.05;-0.001251859072,-0.00634610653
38.47,106.27;-0.000461996898004,-0.00441491604001
38.28,106.24;-0.00045900069,-0.00438809395
38.55,106.35;-0.000599928473001,-0.00460267067001
39.04,106.39;-0.000879142476002,-0.0047314167
38.91,106.54;-0.000525951482004,-0.00443100928999
38.82,106.69;-0.000514079231998,-0.00456511974001
37.99,106.21;-0.000541155821999,-0.00439345837
36.97,105.94;-9.42898410017e-05,-0.00400722027
38.1,106.34;-0.000591000389001,-0.00453829765
37.48,105.66;-0.000391644688001,-0.00398576260001
37.78,107.41;-0.000750453043999,-0.00531077385
37.51,105.18;-0.000599996148004,-0.00379800796999
38.02,106.07;-0.000655037300994,-0.00452756882001
36.01,106.28;0.000164895661001,-0.00422716141
35.97,105.7;0.000247469064,-0.0039857626
35.5,106.33;0.000292606682997,-0.00429689884
36.56,105.64;0.000168046517999,-0.00386238098
35.63,106.11;0.000126445225,-0.00436663628
31.86,117.27;0.002009313573,-0.00549316406
32.47,117.16;0.001955172368,-0.00564336777001
32.62,116.98;0.002119087934,-0.00532150268999
32.68,116.71;0.002063482554,-0.00523567200001
33.97,116.77;0.001383611117,-0.00542342663
33.92,116.76;0.001388875638,-0.00541806221
31.33,118.38;0.001851232862,-0.00539660454001
30.93,117.82;0.002300815572,-0.00532686710001
32.93,117.34;0.001765015503,-0.00573992728999
31.56,118.48;0.001892405153,-0.00528395175999
30.52,117.03;0.00237069853,-0.00533223152
33.63,116.97;0.001563318145,-0.00538051127999
33.63,116.97;0.001563318145,-0.00538051127999
34.42,116.34;0.001115156711,-0.00553071499
34.19,116.93;0.001490956776,-0.00532150268999
33.55,117.55;0.001605005768,-0.0055629015
33.49,117.89;0.001682175978,-0.00541269778999
33.14,117.87;0.001873111891,-0.00541269778999
33.33,117.32;0.001532883944,-0.00572919846
32.95,117.19;0.001791626078,-0.00563800335
32.33,118.31;0.002026200503,-0.00537514686999
32.78,117.98;0.002029597279,-0.00542342663
32.68,119.0;0.002004783267,-0.00528931618
32.44,118.44;0.001906021926,-0.00547707081
32.1,118.27;0.002044965141,-0.00531613827
32.52,117.68;0.002153115588,-0.00549316406
