active_time,aerobic,calories,distance,steps,speed,time
60,True,3.33200001717,85,120,1.41700005531,1370828940
60,True,3.4240000248,88,122,1.46700000763,1370829000
60,True,3.4849998951,90,124,1.5,1370829060
7,True,0.391000002623,10,14,1.42900002003,1370829120
12,True,0.697000026703,18,25,1.5,1370829480
38,True,2.23799991608,58,80,1.52600002289,1370829600
12,True,0.666000008583,17,24,1.41700005531,1370829660
15,True,0.70300000906,17,26,1.13300001621,1370829720
47,True,2.96600008011,75,100,1.59599995613,1370830260
51,True,6.68800020218,118,131,2.31399989128,1370830320
11,True,1.03299999237,21,26,1.9090000391,1370830440
11,True,0.532000005245,13,20,1.18200004101,1370830500
23,True,1.19799995422,30,44,1.30400002003,1370830620
9,True,0.630999982357,15,20,1.66700005531,1370830680
37,True,2.23300004005,58,83,1.56799995899,1370830800
14,True,0.751999974251,19,27,1.35699999332,1370830860
19,True,1.08800005913,28,39,1.47399997711,1370834100
6,True,0.347999989986,9,13,1.5,1370834160
27,True,1.52199995518,39,55,1.44400000572,1370834460
26,True,1.41799998283,36,51,1.38499999046,1370835420
11,True,0.624000012875,16,22,1.45500004292,1370835480
14,True,0.690999984741,17,25,1.21399998665,1370835540
33,True,1.56599998474,38,58,1.15199995041,1370835780
55,False,2.47699999809,59,92,1.07299995422,1370835840
54,False,2.83100008965,71,102,1.31500005722,1370835900
59,False,3.0759999752,77,112,1.30499994755,1370835960
60,False,2.9960000515,74,110,1.23300004005,1370836020
39,False,1.97500002384,49,72,1.25600004196,1370836080
15,False,0.885999977589,23,32,1.53299999237,1370836140
14,False,0.782999992371,20,28,1.42900002003,1370836200
59,True,3.13700008392,79,114,1.33899998665,1370836260
57,True,2.8069999218,69,103,1.21099996567,1370836320
29,True,1.63900005817,42,59,1.44799995422,1370836380
9,True,0.537999987602,14,19,1.55599999428,1370836440
15,True,0.824999988079,21,30,1.39999997616,1370836500
59,False,3.41100001335,88,122,1.49199998379,1370836560
60,False,3.4240000248,88,122,1.46700000763,1370836620
60,False,3.39299988747,87,121,1.45000004768,1370836680
60,False,0.0,76,111,1.26699995995,1370836740
58,False,3.43000006676,89,122,1.5340000391,1370836800
51,False,2.97699999809,77,107,1.50999999046,1370836860
24,False,1.33299994469,34,48,1.41700005531,1370836920
60,False,3.5150001049,91,125,1.51699995995,1370836980
60,False,3.24099993706,82,117,1.36699998379,1370837040
60,False,3.17899990082,80,115,1.33299994469,1370837100
60,False,3.33200001717,85,119,1.41700005531,1370837160
44,False,2.49399995804,64,89,1.45500004292,1370837220
59,False,3.47199988365,90,124,1.52499997616,1370837280
26,True,1.44900000095,37,52,1.42299997807,1370837400
22,True,1.18599998951,30,43,1.36399996281,1370840520
17,True,0.850000023842,21,31,1.23500001431,1370840880
15,True,0.824999988079,21,30,1.39999997616,1370841120
18,True,1.01499998569,26,37,1.44400000572,1370841780
0,True,0.0,1,1,0.0,1370841840
12,True,0.666000008583,17,24,1.41700005531,1370841960
15,True,0.795000016689,20,29,1.33299994469,1370842380
31,True,1.6629999876,42,60,1.35500001907,1370842440
12,True,0.635999977589,16,23,1.33299994469,1370842500
10,True,0.488999992609,12,18,1.20000004768,1370842560
31,True,1.6629999876,42,61,1.35500001907,1370843040
11,True,0.532000005245,13,19,1.18200004101,1370843100
15,True,0.795000016689,20,29,1.33299994469,1370843160
56,True,2.33699989319,54,88,0.963999986649,1370843220
34,True,1.60800004005,39,59,1.14699995518,1370843280
54,False,2.37299990654,56,89,1.03699994087,1370843340
59,False,2.86199998856,70,106,1.18599998951,1370843400
60,False,2.9960000515,74,111,1.23300004005,1370843460
52,False,2.50099992752,61,91,1.17299997807,1370843520
60,False,3.14899992943,79,116,1.31700003147,1370843580
60,False,2.96600008011,73,110,1.21700000763,1370843640
30,False,1.52900004387,38,56,1.26699995995,1370843700
35,False,1.74300003052,43,64,1.22899997234,1370843760
12,False,0.635999977589,16,23,1.33299994469,1370843820
10,True,0.550000011921,14,20,1.39999997616,1370844180
50,True,2.44600009918,60,91,1.20000004768,1370844240
46,True,2.51900005341,64,91,1.39100003242,1370844300
52,True,2.95900011063,76,104,1.4620000124,1370844360
24,True,1.39400005341,36,49,1.5,1370844420
26,True,1.88800001144,44,57,1.69200003147,1370844480
29,True,1.51600003242,38,56,1.30999994278,1370844540
22,True,1.24699997902,32,45,1.45500004292,1370844600
6,True,0.317999988794,8,12,1.33299994469,1370844660
40,True,1.95700001717,48,72,1.20000004768,1370844720
37,True,2.04200005531,52,74,1.40499997139,1370844780
10,True,0.519999980927,13,19,1.29999995232,1370844840
